Receiver, CornerNum, Index, Sati, Longi, X, Y, Z, Dx, Dy, Dz
Phone,1,0,37.450571466666666,126.65203596666667,-3026417.834877365,4067352.551526667,3857231.0128122326,0.035963214468210936,0.3451613886281848,0.04165893793106079
Phone,1,1,37.450571466666666,126.65203596666667,-3026417.834877365,4067352.551526667,3857231.0128122326,0.035963214468210936,0.3451613886281848,0.04165893793106079
Phone,1,2,37.450571466666666,126.65203596666667,-3026417.834877365,4067352.551526667,3857231.0128122326,0.035963214468210936,0.3451613886281848,0.04165893793106079
Phone,1,3,37.450571466666666,126.65203596666667,-3026417.834877365,4067352.551526667,3857231.0128122326,0.035963214468210936,0.3451613886281848,0.04165893793106079
Phone,1,4,37.450571466666666,126.65203596666667,-3026417.834877365,4067352.551526667,3857231.0128122326,0.035963214468210936,0.3451613886281848,0.04165893793106079
Phone,1,5,37.45057145,126.65203596666667,-3026417.8355488232,4067352.5524290726,3857231.0113437334,0.03529175603762269,0.34606379410251975,0.040190438739955425
Phone,1,6,37.45057143333334,126.65203596666667,-3026417.8362202807,4067352.5533314776,3857231.0098752347,0.03462029853835702,0.3469661991111934,0.03872194001451135
Phone,1,7,37.45057145,126.65203618333335,-3026417.850929707,4067352.540984533,3857231.0113437334,0.01991087244823575,0.33461925433948636,0.040190438739955425
Phone,1,8,37.450571466666666,126.65203638333332,-3026417.864455985,4067352.5295179375,3857231.0128122326,0.006384594365954399,0.3231526589952409,0.04165893793106079
Phone,1,9,37.45057155,126.65203658333333,-3026417.827905577,4067352.4507508012,3857230.959347047,0.042935002129524946,0.24438552279025316,-0.011806247755885124
Phone,1,10,37.45057173333333,126.65203686666668,-3026417.840633002,4067352.4258584045,3857230.975500532,0.030207577161490917,0.21949312603101134,0.004347237292677164
Phone,1,11,37.450571966666665,126.65203721666667,-3026417.856078633,4067352.3947373936,3857230.9960595127,0.01476194616407156,0.18837211513891816,0.0249062180519104
Phone,1,12,37.450572083333334,126.65203746666666,-3026417.821734741,4067352.311524402,3857230.945531325,0.049105838406831026,0.10515912342816591,-0.02562196971848607
Phone,1,13,37.4505723,126.65203786666667,-3026417.841401265,4067352.278664748,3857230.964621807,0.029439314268529415,0.07229946972802281,-0.006531487684696913
Phone,1,14,37.45057263333333,126.65203851666665,-3026417.8267238936,4067352.1625921056,3857230.933184099,0.04411668563261628,-0.04377317288890481,-0.03796919574961066
Phone,1,15,37.45057288333333,126.65203906666666,-3026417.855695803,4067352.120004498,3857230.955211578,0.015144776087254286,-0.08636078052222729,-0.015941716730594635
Phone,1,16,37.450573166666665,126.65203973333334,-3026417.844215949,4067352.005758723,3857230.919368373,0.026624630205333233,-0.20060655567795038,-0.05178492143750191
Phone,1,17,37.450573266666666,126.65204003333335,-3026417.8614838053,4067351.984498003,3857230.928179365,0.009356773924082518,-0.22186727542430162,-0.042973929550498724
Phone,1,18,37.450573299999995,126.65204020000002,-3026417.871972338,4067351.9738897015,3857230.9311163616,-0.0011317585594952106,-0.23247557692229748,-0.04003693303093314
